ocid,notice_id,published_date,deadline,title,buyer,status,procurement_method,main_category,cpv_id,cpv_description,value_amount,value_currency,sme_suitable,vcse_suitable,categories,matched_terms,official_notice_url,summary,licence,source
ocds-b5fd17-85032817-41a4-44f3-8a3d-f2acb47815f7,78662a62-9ddd-45eb-bdfa-e27352391e6e-903748,2026-06-27T06:42:14+01:00,2026-07-20T12:00:00+01:00,CA18130 - ROOF CHILLER REPLACEMENT AT UCG PADDINGTON,United Colleges Group,active,Open procedure,works,45331220,Air-conditioning installation work,,,True,False,facilities_works;sme_suitable,SME suitability flag;installation,https://www.contractsfinder.service.gov.uk/Notice/78662a62-9ddd-45eb-bdfa-e27352391e6e,REPLACEMENT OF ROOF CHILLER UNITS AT PADDINGTON GREEN CAMPUS To access this competition: Registered: Login to https://suppliers.multiquote.com and view the opportunity CA18130. Not registered: Visit https://suppliers.mu…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-10c9914f-f45c-4df2-89e0-a440714888bd,36bcb77e-4f3a-4e55-899e-3edc8def8be6-903746,2026-06-26T18:01:35+01:00,2026-07-17T12:00:00+01:00,BMS (Building Management System) Phase 1,London Universities Purchasing Consortium,active,Open procedure,works,51900000,Installation services of guidance and control systems,,,True,False,facilities_works;sme_suitable,SME suitability flag;installation,https://www.contractsfinder.service.gov.uk/Notice/36bcb77e-4f3a-4e55-899e-3edc8def8be6,Ravensbourne University London is pleased to invite your organisation to submit a tender for the initial advance works package associated with the Ravensbourne University London - BMS Upgrade Project. The project compri…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-1f85abe2-b9a9-4fff-9417-c1f2678fcebd,ee37cc22-2d68-4f8f-9687-fb0be922e228-903736,2026-06-26T16:00:15+01:00,2026-07-17T12:00:00+01:00,CA18136 - Tender 22/2026 - Provision of Marquees and Tents for NMDDC Events Department,"Newry, Mourne and Down District Council (NMD)",active,Open procedure,services,79952000,Event services,,,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/ee37cc22-2d68-4f8f-9687-fb0be922e228,"Newry, Mourne and Down District Council is inviting tenders from suitably experienced suppliers for the Provision of Marquees and Tents for NMDDC Events Department. To access this competition: Registered: Login to https…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-94a43631-08c4-494f-845c-0e0bcfb0c65e,07754867-b27a-4dcc-a314-67bbe7d1e939-903694,2026-06-26T12:59:24+01:00,2025-08-31T00:00:00+01:00,Supply and/or Install of Rooftop Solar Photovoltaic Systems and Associated Equipment Y24013,BIP SOLUTIONS LIMITED,active,Restricted procedure (above threshold),goods,09330000,Solar energy,1,GBP,True,True,facilities_works;green_energy;sme_suitable,SME suitability flag;installation;solar,https://www.contractsfinder.service.gov.uk/Notice/07754867-b27a-4dcc-a314-67bbe7d1e939,Modification Notice Original description: The Framework Agreement is divided into five separate Lots: Lot 1 - Supply of Solar Panels and associated equipment Lot 2 - Installation of Solar PV Systems and associated equip…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-bb891b58-cba8-4ae8-822b-a43e924e3e6a,f1295dd4-6f18-4d45-b4d1-f6108db5060e-903706,2026-06-26T12:53:50+01:00,2026-07-13T13:49:41+01:00,DPS1 1379 - Highway Pollard Tree Work,London Borough of Haringey,active,Call-off from a dynamic purchasing system,services,71000000,"Architectural, construction, engineering and inspection services",90000,GBP,True,True,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/f1295dd4-6f18-4d45-b4d1-f6108db5060e,DPS1 1379 - Highway Pollard Tree Work Additional information: https://londonconstructionprogramme.co.uk/services/dynamic-purchasing-systems/,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-3e2d0235-ef28-4896-ad91-9998b8c6e23e,6dd81ca4-a60d-4e4e-88df-38a95abd377f-903677,2026-06-26T12:13:49+01:00,2026-07-10T12:00:00+01:00,Stage 1 of 2 Pre-Qualification for St Nicholas Church Arundel South Aisle Roof Repair,Vallis & Hall Conservation Architects,active,Competitive procedure with negotiation (above threshold),works,44112400,Roof,250000,GBP,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/6dd81ca4-a60d-4e4e-88df-38a95abd377f,This notice is for participation in the pre-qualification selection process as the first stage for a competitive tender. The outcome of the PQQ process shall be a shortlist of 4-5 top scoring contractors. The works are…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-3443f052-1d78-45a0-aeb7-442a33f6c98b,bb7faf06-7cfb-4861-a692-e70e9211fe52-903704,2026-06-26T12:00:12+01:00,2026-07-31T12:00:00+01:00,CA18124 - The Twyford Church of England Academies Trust wish to tender for the creation of an agency staffing panel.,Twyford C of E Academies Trust,active,Open procedure,services,79620000,Supply services of personnel including temporary staff,3300000,GBP,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/bb7faf06-7cfb-4861-a692-e70e9211fe52,The Twyford Church of England Academies Trust wish to tender for the creation of an agency staffing panel. Once created the panel will consist of up to 10 Agencies that can deliver staffing solutions to the Trust on an…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-9c6594c4-26ba-4177-83bf-2f797b6c9bf7,915e184b-673f-4b19-bde5-9b73cd78561a-903688,2026-06-26T11:15:15+01:00,2026-07-27T12:00:00+01:00,CA18134 - To Supply Leicester College with Cleaning Consumables,Leicester College,active,Open procedure,goods,39830000,Cleaning products,50000,GBP,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/915e184b-673f-4b19-bde5-9b73cd78561a,"Leicester College is seeking to appoint a reliable and responsive supplier for the provision of cleaning consumables across its estate, ensuring quality, value for money, continuity of supply, and products that support…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-48d1d41e-2abd-4d5d-b46d-c70487d01209,2dddc4fc-b327-48f0-b6e8-a32183767489-903687,2026-06-26T11:12:10+01:00,2026-07-24T17:00:00+01:00,CA18133 - ITT For Catfield C of E Primary Academy Heating System,Diocese of Norwich Education and Academies Trust,active,Open procedure,works,45331110,Boiler installation work,50000,GBP,True,False,facilities_works;sme_suitable,SME suitability flag;installation,https://www.contractsfinder.service.gov.uk/Notice/2dddc4fc-b327-48f0-b6e8-a32183767489,The Diocese of Norwich Education Services Company (DoNESC) is carrying out a procurement exercise on the behalf of Catfield C of E Primary Academy to procure works to upgrade the plantroom delivering an adequate heating…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-176d94e9-c350-44b5-aefc-b2a0977ebea1,a2642dd9-44e8-48a9-a78d-b4eb29d9a035-903654,2026-06-26T09:30:17+01:00,2026-07-24T12:00:00+01:00,"CA18131 - RFQ2026/18 - NMANDD PEACEPLUS Local Action Plan Thriving Together Accredited First Aid Course with CPR and AED Trainer Programme for The Mournes, Downpatrick and Rowallane DEAs","Newry, Mourne and Down District Council (NMD)",active,Open procedure,services,98000000,"Other community, social and personal services",,,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/a2642dd9-44e8-48a9-a78d-b4eb29d9a035,"NMANDD PEACEPLUS Local Action Plan Thriving Together Accredited First Aid Course with CPR and AED Trainer Programme for The Mournes, Downpatrick and Rowallane DEAs Competent consultancy companies are hereby invited to t…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-05f029d6-35cc-4af7-bf52-bd758d0202d5,bfc41558-bf34-47fe-9a81-680224d64057-903631,2026-06-26T09:08:57+01:00,2026-06-01T00:00:00+01:00,Handling of Recyclable Materials,BIP SOLUTIONS LIMITED,active,Restricted procedure (above threshold),services,90514000,Refuse recycling services,1,GBP,True,True,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/bfc41558-bf34-47fe-9a81-680224d64057,Modification Notice Original description: Handing of Recyclable Materials for the Council. Description of the modifications This contract relates to the Council's waste disposal arrangements for non-residual waste. The…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
